"Artist","Album","hof_num","Label","rel_date"
"Botch","We Are the Romans","dB HoF No. 10","Label: Hydra Head","Release date: 1999"
"Atheist","Unquestionable Presence","dB HoF No. 9","Label: Metal Blade","Release date: 1991"
"Carcass","Necrotocism","dB HoF No. 8","Label: Earache","Release date: 1991"
"Entombed","Left Hand Path","dB HoF No. 7","Label: Earache","Release date: 1990"
"Anthrax","Among the Living","dB HoF No. 6","Label: Island","Release date: 1987"
"Paradise Lost","Gothic","dB HoF No. 5","Label: Peaceville","Release date: 1991"
"Life of Agony","River Runs Red","dB HoF No. 4","Label: Roadrunner","Release date: 1993"
"Sepultura","Roots","dB HoF No. 3","Label: Roadrunner","Release date: 1996"
"At the Gates","Slaughter of the Soul","dB HoF No. 2","Label: Earache","Release date: 1995"
"Slayer","Reign in Blood","dB HoF No. 1","Label: Def Jam Records","Release date: October 7, 1986"
