norm_to_update,current
Rocket From The Crypt,Rocket From The Crypt
Royal Thunder,Royal Thunder
Runemaster,Runemaster
Rush,Rush
Russian Circles,Russian Circles
Sabbat,Sabbat
Sabbath Assembly,Sabbath Assembly
SAHG,SAHG
Salome,Salome
Same Mind,Same Mind
Saor,Saor
Sapien,Sapien
Satchel,Satchel
Satyricon,Satyricon
Scalplock,Scalplock
Schammasch,Schammasch
Scordatura,Scordatura
Scott Kelly,Scott Kelly
Sean Olson,Sean Olson
Secrets of the moon,Secrets of the moon
Secrets of the moon,Secrets Of The Moon
Sepctic Flesh,Sepctic Flesh
Sepultura,Sepultura
Shadows Fall,Shadows Fall
Shelf Life,Shelf Life
Shelter,Shelter
Shinedown,Shinedown
Shining,Shining
Shrinebuilder,Shrinebuilder
Sick of it All,Sick of it All
Sigh,Sigh
Sigur Ros,Sigur Ros
SikTh,SikTh
Silverchair,Silverchair
Silverchair & Vitro,Silverchair & Vitro
Simon & Garfunkel,Simon & Garfunkel
Sinistro,Sinistro
Skeletonwitch,Skeletonwitch
Skkunk Anansie,Skkunk Anansie
Skuggsjá,Skuggsjá
Skunk Anansie,Skunk Anansie
Slabdragger,Slabdragger
Slayer,Slayer
Slayer & Atari Teenage Riot,Slayer & Atari Teenage Riot
Sleep,Sleep
Slugdge,Slugdge
Snapcase,Snapcase
snowblood,Snowblood
Soen,Soen
Soilwork,Soilwork
Solar Sons,Solar Sons
Solefald,Solefald
Solstafir,Solstafir
Sonata Arctica,Sonata Arctica
Soul Coughing & Roni Size,Soul Coughing & Roni Size
Soulfly,Soulfly
Soundgarden,Soundgarden
Soundisciples,Soundisciples
Soundtracks,Soundtracks
Spectre General,Spectre General
Spineshank,Spineshank
Spires,Spires
Spirit Adrift,Spirit Adrift
Spirit Adrift,SpiritAdrift.Prosthetic
Spit,Spit
SPLIT,SPLIT
Squalus,Squalus
Stabbing Westward & Wink,Stabbing Westward & Wink
Stan Bush,Stan Bush
